Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Access Type,Source,EID
"Muniraj I., Guo C., Malallah R., Ryle J.P., Healy J.J., Lee B.-G., Sheridan J.T.","55549099300;55782336900;56893840900;14056979400;14055830200;7405437046;7201682655;","Low photon count based digital holography for quadratic phase cryptography",2017,"Optics Letters","42","14",,"2774","2777",,3,"10.1364/OL.42.002774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023782366&doi=10.1364%2fOL.42.002774&partnerID=40&md5=d942f4227531c6c9714f8c600282aaf9","Recently, the vulnerability of the linear canonical transform-based double random phase encryption system to attack has been demonstrated. To alleviate this, we present for the first time, to the best of our knowledge, a method for securing a two-dimensional scene using a quadratic phase encoding system operating in the photon-counted imaging (PCI) regime. Position-phase-shifting digital holography is applied to record the photon-limited encrypted complex samples. The reconstruction of the complex wavefront involves four sparse (undersampled) dataset intensity measurements (interferograms) at two different positions. Computer simulations validate that the photon-limited sparse-encrypted data has adequate information to authenticate the original data set. Finally, security analysis, employing iterative phase retrieval attacks, has been performed. © 2017 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-85023782366
"Zhao L., Sheridan J.T., Healy J.J.","55624140500;7201682655;14055830200;","Unitary Algorithm for Nonseparable Linear Canonical Transforms Applied to Iterative Phase Retrieval",2017,"IEEE Signal Processing Letters","24","6", 7882701,"814","817",,5,"10.1109/LSP.2017.2684829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018913245&doi=10.1109%2fLSP.2017.2684829&partnerID=40&md5=336106ba51ca90daf2a6ebf8ecb990d5","Phase retrieval is an important tool with broad applications in optics. The Gerchberg-Saxton algorithm has been a workhorse in this area for many years. The algorithm extracts phase information from intensities captured in two planes related by a Fourier transform. The ability to capture the two intensities in domains other than the image and Fourier plains adds flexibility; various authors have extended the algorithm to extract phase from intensities captured in two planes related by other optical transforms, e.g., by free space propagation or a fractional Fourier transform. These generalizations are relatively simple once a unitary discrete transform is available to propagate back and forth between the two measurement planes. In the absence of such a unitary transform, errors accumulate quickly as the algorithm propagates back and forth between the two planes. Unitary transforms are available for many separable systems, but there has been limited work reported on nonseparable systems other than the gyrator transform. In this letter, we simulate a nonseparable system in a unitary way by choosing an advantageous sampling rate related to the system parameters. We demonstrate a simulation of phase retrieval from intensities in the image domain and a second domain related to the image domain by a nonseparable linear canonical transform. This work may permit the use of nonseparable systems in many design problems. © 1994-2012 IEEE.",Article,"Final",,Scopus,2-s2.0-85018913245
"Muniraj I., Guo C., Malallah R., Cassidy D., Zhao L., Ryle J.P., Healy J.J., Sheridan J.T.","55549099300;55782336900;56893840900;57193832967;55624140500;14056979400;14055830200;7201682655;","Choice of optical system is critical for the security of double random phase encryption systems",2017,"Optical Engineering","56","6", 063103,"","",,1,"10.1117/1.OE.56.6.063103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021649723&doi=10.1117%2f1.OE.56.6.063103&partnerID=40&md5=3741910905fd293fd0558c3af49efb48","The linear canonical transform (LCT) is used in modeling a coherent light-field propagation through first-order optical systems. Recently, a generic optical system, known as the quadratic phase encoding system (QPES), for encrypting a two-dimensional image has been reported. In such systems, two random phase keys and the individual LCT parameters (α β γ) serve as secret keys of the cryptosystem. It is important that such encryption systems also satisfy some dynamic security properties. We, therefore, examine such systems using two cryptographic evaluation methods, the avalanche effect and bit independence criterion, which indicate the degree of security of the cryptographic algorithms using QPES. We compared our simulation results with the conventional Fourier and the Fresnel transform-based double random phase encryption (DRPE) systems. The results show that the LCT-based DRPE has an excellent avalanche and bit independence characteristics compared to the conventional Fourier and Fresnel-based encryption systems. © 2017 Society of Photo-Optical Instrumentation Engineers (SPIE).",Article,"Final",,Scopus,2-s2.0-85021649723
"Muniraj I., Guo C., Malallah R., Maraka H.V.R., Ryle J.P., Sheridan J.T.","55549099300;55782336900;56893840900;57039102100;14056979400;7201682655;","Subpixel based defocused points removal in photon-limited volumetric dataset",2017,"Optics Communications","387",,,"196","201",,2,"10.1016/j.optcom.2016.11.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999740100&doi=10.1016%2fj.optcom.2016.11.047&partnerID=40&md5=9c3bee2c218c2cb1f8581f531da22550","The asymptotic property of the maximum likelihood estimator (MLE) has been utilized to reconstruct three-dimensional (3D) sectional images in the photon counting imaging (PCI) regime. At first, multiple 2D intensity images, known as Elemental images (EI), are captured. Then the geometric ray-tracing method is employed to reconstruct the 3D sectional images at various depth cues. We note that a 3D sectional image consists of both focused and defocused regions, depending on the reconstructed depth position. The defocused portion is redundant and should be removed in order to facilitate image analysis e.g., 3D object tracking, recognition, classification and navigation. In this paper, we present a subpixel level three-step based technique (i.e. involving adaptive thresholding, boundary detection and entropy based segmentation) to discard the defocused sparse-samples from the reconstructed photon-limited 3D sectional images. Simulation results are presented demonstrating the feasibility and efficiency of the proposed method. © 2016 Elsevier B.V.",Article,"Final",,Scopus,2-s2.0-84999740100
"Li H., Guo C., Muniraj I., Schroeder B.C., Sheridan J.T., Jia S.","55804706800;55782336900;55549099300;56884056800;7201682655;35721979700;","Volumetric Light-field Encryption at the Microscopic Scale",2017,"Scientific Reports","7",, 40113,"","",,9,"10.1038/srep40113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008698407&doi=10.1038%2fsrep40113&partnerID=40&md5=a2180691653c4501e65a2d2e491b5aaf","We report a light-field based method that allows the optical encryption of three-dimensional (3D) volumetric information at the microscopic scale in a single 2D light-field image. The system consists of a microlens array and an array of random phase/amplitude masks. The method utilizes a wave optics model to account for the dominant diffraction effect at this new scale, and the system point-spread function (PSF) serves as the key for encryption and decryption. We successfully developed and demonstrated a deconvolution algorithm to retrieve both spatially multiplexed discrete data and continuous volumetric data from 2D light-field images. Showing that the method is practical for data transmission and storage, we obtained a faithful reconstruction of the 3D volumetric information from a digital copy of the encrypted light-field image. The method represents a new level of optical encryption, paving the way for broad industrial and biomedical applications in processing and securing 3D data at the microscopic scale. © The Author(s) 2017.",Article,"Final",Open Access,Scopus,2-s2.0-85008698407
"Kostencka J., Kozacki T., Hennelly B., Sheridan J.T.","55252754200;6507398288;6603022875;7201682655;","Influence of the limited detector size on spatial variations of the reconstruction accuracy in holographic tomography",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10329",, 103292W,"","",,1,"10.1117/12.2270108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029181361&doi=10.1117%2f12.2270108&partnerID=40&md5=fe0ad0187737302a2acd5b18a1b39c7d","Holographic tomography (HT) allows noninvasive, quantitative, 3D imaging of transparent microobjects, such as living biological cells and fiber optics elements. The technique is based on acquisition of multiple scattered fields for various sample perspectives using digital holographic microscopy. Then, the captured data is processed with one of the tomographic reconstruction algorithms, which enables 3D reconstruction of refractive index distribution. In our recent works we addressed the issue of spatially variant accuracy of the HT reconstructions, which results from the insufficient model of diffraction that is applied in the widely-used tomographic reconstruction algorithms basing on the Rytov approximation. In the present study, we continue investigating the spatially variant properties of the HT imaging, however, we are now focusing on the limited spatial size of holograms as a source of this problem. Using the Wigner distribution representation and the Ewald sphere approach, we show that the limited size of the holograms results in a decreased quality of tomographic imaging in off-center regions of the HT reconstructions. This is because the finite detector extent becomes a limiting aperture that prohibits acquisition of full information about diffracted fields coming from the out-of-focus structures of a sample. The incompleteness of the data results in an effective truncation of the tomographic transfer function for the out-of-center regions of the tomographic image. In this paper, the described effect is quantitatively characterized for three types of the tomographic systems: The configuration with 1) object rotation, 2) scanning of the illumination direction, 3) the hybrid HT solution combing both previous approaches. © 2017 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85029181361
"Kelly D.P., Ryle J., Zhao L., Sheridan J.T.","56044455800;14056979400;55624140500;7201682655;","Measuring optical phase digitally in coherent metrology systems",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10220",, 102200B,"","",,,"10.1117/12.2262485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023602837&doi=10.1117%2f12.2262485&partnerID=40&md5=23b531530e394f96d0191c41a82f3832","The accurate measurement of optical phase has many applications in metrology. For biological samples, which appear transparent, the phase data provides information about the refractive index of the sample. In speckle metrology, the phase can be used to estimate stress and strains of a rough surface with high sensitivity. In this theoretical manuscript we compare and contrast the properties of two techniques for estimating the phase distribution of a wave field under the paraxial approximation: (I) A digital holographic system, and (II) An idealized phase retrieval system. Both systems use a CCD or CMOS array to measure the intensities of the wave fields that are reflected from or transmitted through the sample of interest. This introduces a numerical aspect to the problem. For the two systems above we examine how numerical calculations can limit the performance of these systems leading to a near-infinite number of possible solutions. © 2017 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85023602837
"Malallah R., Cassidy D., Muniraj I., Zhao L., Sheridan J.T.","56893840900;57193832967;55549099300;55624140500;7201682655;","Formation of optical trajectories in the photopolymer material during self-written waveguides process",2017,"Optics InfoBase Conference Papers","Part F66-FiO 2017",,,"","",3,,"10.1364/FIO.2017.JW4A.75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035143013&doi=10.1364%2fFIO.2017.JW4A.75&partnerID=40&md5=ac9e556afcc0b7cd23195a1ea272779b","During the self-written waveguides process, the optical waveguide trajectories formed in an AA/PVA a photopolymer material photosensitive at 532 nm are examined. The largest index changes taking place at any time during the exposure, i.e. during SWW formation are found at the positions where the largest light intensity is present. © OSA 2017.",Conference Paper,"Final",,Scopus,2-s2.0-85035143013
"Guo C., Li H., Muniraj I., Schroeder B.C., Sheridan J.T., Jia S.","55782336900;55804706800;55549099300;56884056800;7201682655;35721979700;","Volumetric light-field encryption at the microscopic scale",2017,"Optics InfoBase Conference Papers","Part F66-FiO 2017",,,"","",2,1,"10.1364/FIO.2017.JTu2A.94","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035124519&doi=10.1364%2fFIO.2017.JTu2A.94&partnerID=40&md5=7c691f287ba3376aff6bdf0e85ef2725","A light-field based method allowing the optical encryption of three-dimensional (3D) volumetric information at the microscopic scale is reported, in which it paves the way for biomedical applications in processing and securing data. © OSA 2017.",Conference Paper,"Final",,Scopus,2-s2.0-85035124519
"Malallah R., Cassidy D., Muniraj I., Zhao L., Ryle J.P., Sheridan J.T.","56893840900;57193832967;55549099300;55624140500;14056979400;7201682655;","Investigating nonlinear distortion in the photopolymer materials",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10228",, 1022805,"","",,,"10.1117/12.2263749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029154715&doi=10.1117%2f12.2263749&partnerID=40&md5=9d6813dbe393d73338a0656bb5c3787c","Propagation and diffraction of a light beam through nonlinear materials are effectively compensated by the effect of selftrapping. The laser beam propagating through photo-sensitive polymer PVA/AA can generate a waveguide of higher refractive index in direction of the light propagation. In order to investigate this phenomenon occurring in light-sensitive photopolymer media, the behaviour of a single light beam focused on the front surface of photopolymer bulk is investigated. As part of this work the self-bending of parallel beams separated in spaces during self-writing waveguides are studied. It is shown that there is strong correlation between the intensity of the input beams and their separation distance and the resulting deformation of waveguide trajectory during channels formation. This self-channeling can be modelled numerically using a three-dimension model to describe what takes place inside the volume of a photopolymer media. Corresponding numerical simulations show good agreement with experimental observations, which confirm the validity of the numerical model that was used to simulate these experiments. © 2017 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85029154715
"Zhao L., Healy J., Wu Y., Muniraj I., Malallah R., Kelly D.P., Sheridan J.T.","55624140500;14055830200;57196068101;55549099300;56893840900;56044455800;7201682655;","Reconstruction of digital holograms by iterative phase retrieval algorithm: Improvements and analysis",2017,"Optics InfoBase Conference Papers","Part F47-DH 2017",,,"","",3,,"10.1364/DH.2017.W2A.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026327854&doi=10.1364%2fDH.2017.W2A.24&partnerID=40&md5=e1dd422a8b765454b8d057e54e876f41","Iterative phase retrieval usually requires a good initial guess for the phase. In this paper, we consider two improvements to a recently proposed scheme (Opt. Eng. 55 (3), 033106 (2016)) to acquire the initial guess from a digital holographic system. This set-up is simpler than phase-shifting interferometry, and suppresses the twin image and dc terms without the resolution trade-off involved in off-axis holography. In this paper, we show the benefits of ensuring the propagation algorithm is unitary. We also use a recently proposed iterative phase retrieval algorithm which uses a combination of the Gerschberg-Saxton and hybrid input-output algorithms, and demonstrate the benefit of this algorithm for avoiding stagnation of the algorithm. © OSA 2017.",Conference Paper,"Final",,Scopus,2-s2.0-85026327854
"Zhao L., Healy J.J., Muniraj I., Cui X.-G., Malallah R., Ryle J.P., Sheridan J.T.","55624140500;14055830200;55549099300;57194722863;56893840900;14056979400;7201682655;","Constraints to solve parallelogram grid problems in 2D non separable linear canonical transform",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10233",, 102331V,"","",,,"10.1117/12.2265862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021796503&doi=10.1117%2f12.2265862&partnerID=40&md5=a6578768f12aa0e2ad19e2adbd9e9494","The 2D non-separable linear canonical transform (2D-NS-LCT) can model a range of various paraxial optical systems. Digital algorithms to evaluate the 2D-NS-LCTs are important in modeling the light field propagations and also of interest in many digital signal processing applications. In [Zhao 14] we have reported that a given 2D input image with rectangular shape/boundary, in general, results in a parallelogram output sampling grid (generally in an affine coordinates rather than in a Cartesian coordinates) thus limiting the further calculations, e.g. inverse transform. One possible solution is to use the interpolation techniques; however, it reduces the speed and accuracy of the numerical approximations. To alleviate this problem, in this paper, some constraints are derived under which the output samples are located in the Cartesian coordinates. Therefore, no interpolation operation is required and thus the calculation error can be significantly eliminated. © 2017 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85021796503
"Muniraj I., Guo C., Malallah R., Cassidy D., Zhao L., Ryle J.P., Healy J.J., Sheridan J.T.","55549099300;55782336900;56893840900;57193832967;55624140500;14056979400;14055830200;7201682655;","A fast converging and error reducing phase retrieval algorithm for Fourier Ptychographic microscopy",2017,"Optics InfoBase Conference Papers","Part F47-DH 2017",,,"","",3,,"10.1364/DH.2017.W1A.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026297309&doi=10.1364%2fDH.2017.W1A.4&partnerID=40&md5=80733d00c435adb25bad5095a25c1a82","Fourier ptychography is a recently developed computational framework for wide-field, high-resolution imaging. Here, we propose to use a fast converging and error reducing phase retrieval algorithm to retrieve the complex sample information. © OSA 2017.",Conference Paper,"Final",,Scopus,2-s2.0-85026297309
"Wan M., Muniraj I., Malallah R., Zhao L., Ryle J.P., Rong L., Healy J.J., Wang D., Sheridan J.T.","56706898300;55549099300;56893840900;55624140500;14056979400;35180430500;14055830200;10045139300;7201682655;","Sparsity based terahertz reflective off-Axis digital holography",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10233",, 102330T,"","",,1,"10.1117/12.2264788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021800927&doi=10.1117%2f12.2264788&partnerID=40&md5=745c2f2afac7e32efd19bfb930569cb3","Terahertz radiation lies between the microwave and infrared regions in the electromagnetic spectrum. Emitted frequencies range from 0.1 to 10 THz with corresponding wavelengths ranging from 30 μm to 3 mm. In this paper, a continuous-wave Terahertz off-Axis digital holographic system is described. A Gaussian fitting method and image normalisation techniques were employed on the recorded hologram to improve the image resolution. A synthesised contrast enhanced hologram is then digitally constructed. Numerical reconstruction is achieved using the angular spectrum method of the filtered off-Axis hologram. A sparsity based compression technique is introduced before numerical data reconstruction in order to reduce the dataset required for hologram reconstruction. Results prove that a tiny amount of sparse dataset is sufficient in order to reconstruct the hologram with good image quality. © 2017 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85021800927
"Muniraj I., Guo C., Sheridan J.T.","55549099300;55782336900;7201682655;","Multispectral high-resolution hologram generation using orthographic projection images",2016,"Journal of Physics: Conference Series","735","1", 012070,"","",,,"10.1088/1742-6596/735/1/012070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989843972&doi=10.1088%2f1742-6596%2f735%2f1%2f012070&partnerID=40&md5=2d5d74819620ec075efb35e589fb21bd","We present a new method of synthesizing a digital hologram of three-dimensional (3D) real-world objects from multiple orthographic projection images (OPI). A high-resolution multiple perspectives of 3D objects (i.e., two dimensional elemental image array) are captured under incoherent white light using synthetic aperture integral imaging (SAII) technique and their OPIs are obtained respectively. The reference beam is then multiplied with the corresponding OPI and integrated to form a Fourier hologram. Eventually, a modified phase retrieval algorithm (GS/HIO) is applied to reconstruct the hologram. The principle is validated experimentally and the results support the feasibility of the proposed method. © Published under licence by IOP Publishing Ltd.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-84989843972
